Designator,Mid X,Mid Y,Rotation,Layer
C1,44.7,52.8,90,top
C10,46.4,34.4,180,top
C11,37.75,53.1,90,top
C12,36.85,53.1,90,top
C14,42.0,53.1,90,top
C15,40.3,53.1,90,top
C17,44.4,51.0,180,top
C18,43.5,40.6,90,top
C2,35.5,26.8,0,top
C21,23.8,49.3,180,top
C22,24.4,45.1,180,top
C3,41.15,53.1,90,top
C4,39.45,53.1,90,top
C5,28.7,26.8,180,top
C6,22.7,45.5,270,top
C7,38.6,53.1,90,top
C8,48.9,33.7,270,top
C9,43.9,33.7,270,top
D1,47.4,46.3,180,top
D2,47.4,44.3,180,top
D3,47.4,48.3,180,top
D4,24.0,52.5,90,top
D6,45.1,28.6,0,top
D7,24.69,47.2,90,top
J1,36.0,45.8,180,top
J7,45.6,22.7,90,top
L1,46.4,41.2,180,top
L2,46.4,37.0,180,top
Q1,47.7,51.3,270,top
R1,48.8,53.2,90,top
R10,44.5,30.5,180,top
R11,48.2,30.5,180,top
R2,46.7,53.2,270,top
R3,22.7,47.2,270,top
R4,48.5,28.0,180,top
R5,48.5,28.9,180,top
R6,25.6,49.3,180,top
R7,26.2,45.1,180,top
R8,45.8,53.2,270,top
R9,46.4,30.5,180,top
U3,46.4,32.4,180,top
U4,35.0,35.5,90,top
