Designator,Mid X,Mid Y,Rotation,Layer
C1,92.0,97.8,90.0,top
C10,34.8,57.8,0.0,top
C11,84.0,97.5,90.0,top
C12,80.4,87.0,0.0,top
C14,89.9,97.5,90.0,top
C15,88.1,97.5,90.0,top
C17,116.5,90.7,0.0,top
C18,120.2,97.2,0.0,top
C19,29.8,60.8,90.0,top
C2,8.075,47.1,180.0,top
C20,27.142857,105.5,270.0,top
C21,11.3,67.8,90.0,top
C22,16.3,67.8,90.0,top
C23,50.285714,105.5,270.0,top
C24,73.428571,105.5,270.0,top
C25,96.571428,105.5,270.0,top
C26,119.714285,105.5,270.0,top
C27,142.857142,105.5,270.0,top
C28,120.0,39.5,180.0,top
C29,163.5,105.5,225.0,top
C3,89.0,97.5,90.0,top
C30,163.5,87.2,180.0,top
C31,163.5,66.4,180.0,top
C32,163.5,45.6,180.0,top
C33,163.5,24.8,180.0,top
C34,163.5,6.5,135.0,top
C36,142.857142,6.5,90.0,top
C37,119.714285,6.5,90.0,top
C38,96.571428,6.5,90.0,top
C39,73.428571,6.5,90.0,top
C4,87.2,97.5,90.0,top
C40,50.285714,6.5,90.0,top
C41,27.142857,6.5,90.0,top
C43,6.5,6.5,45.0,top
C44,6.5,24.8,0.0,top
C45,6.5,45.6,0.0,top
C46,6.5,66.4,0.0,top
C47,6.5,87.2,0.0,top
C48,6.5,105.5,315.0,top
C5,10.3,47.1,0.0,top
C6,8.5,65.0,180.0,top
C7,86.3,97.5,90.0,top
C8,32.3,58.5,90.0,top
C9,37.3,58.5,90.0,top
D1,120.2,89.2,180.0,top
D10,96.571428,108.0,225.0,top
D11,119.714285,108.0,225.0,top
D12,142.857142,108.0,225.0,top
D13,129.0,87.0,90.0,top
D14,166.0,108.0,180.0,top
D15,166.0,87.2,135.0,top
D16,166.0,66.4,135.0,top
D17,166.0,45.6,135.0,top
D18,166.0,24.8,135.0,top
D19,166.0,4.0,90.0,top
D2,120.2,91.2,180.0,top
D20,136.0,16.5,0.0,top
D21,142.857142,4.0,45.0,top
D22,119.714285,4.0,45.0,top
D23,96.571428,4.0,45.0,top
D24,73.428571,4.0,45.0,top
D25,50.285714,4.0,45.0,top
D26,27.142857,4.0,45.0,top
D27,136.0,95.45,0.0,top
D28,4.0,4.0,0.0,top
D29,4.0,24.8,315.0,top
D3,120.2,87.2,180.0,top
D30,4.0,45.6,315.0,top
D31,4.0,66.4,315.0,top
D32,4.0,87.2,315.0,top
D33,4.0,108.0,270.0,top
D34,129.0,25.0,90.0,top
D35,17.0,25.7,45.0,top
D4,13.3,67.9,270.0,top
D5,27.142857,108.0,225.0,top
D6,29.2,54.6,270.0,top
D7,14.2,67.9,270.0,top
D8,50.285714,108.0,225.0,top
D9,73.428571,108.0,225.0,top
J1,84.0,90.0,180.0,top
J10,11.8,34.75,270.0,top
J2,33.5,23.5,90.0,top
J3,43.0,23.4,90.0,top
J4,137.0,25.0,180.0,top
J5,85.0,5.56,0.0,top
J6,137.0,87.0,180.0,top
J7,134.44,56.0,90.0,top
J8,136.85,37.0,180.0,top
L1,120.2,94.4,0.0,top
L2,34.8,55.2,0.0,top
Q1,116.1,88.2,270.0,top
R1,116.0,84.6,90.0,top
R10,36.7,61.7,0.0,top
R11,33.0,61.7,0.0,top
R12,83.6,9.9,90.0,top
R13,86.8,9.9,90.0,top
R14,32.8,38.6,180.0,top
R2,121.2,84.6,270.0,top
R3,10.5,65.0,180.0,top
R4,130.1,54.3,180.0,top
R5,130.2,57.9,180.0,top
R6,12.2,67.8,270.0,top
R7,15.3,67.8,270.0,top
R8,115.0,90.2,270.0,top
R9,34.8,61.7,0.0,top
U1,36.3,36.03,90.0,top
U3,34.8,59.8,0.0,top
U4,14.0,56.0,90.0,top
