Designator,Mid X,Mid Y,Rotation,Layer
C1,96.8,77.0,0.0,top
C10,79.0,155.775,270.0,top
C11,96.5,85.0,0.0,top
C12,90.1,94.5,180.0,top
C14,96.5,79.1,0.0,top
C15,96.5,80.9,0.0,top
C17,91.3,53.6,0.0,top
C18,95.0,60.1,0.0,top
C19,82.0,160.775,0.0,top
C2,46.1,161.925,90.0,top
C20,104.5,142.857143,180.0,top
C22,66.8,154.1,0.0,top
C23,104.5,119.714286,180.0,top
C24,104.5,96.571429,180.0,top
C25,104.5,73.428572,180.0,top
C26,104.5,50.285715,180.0,top
C27,104.5,27.142858,180.0,top
C28,9.0,156.1125,270.0,top
C29,104.5,6.5,135.0,top
C3,96.5,80.0,0.0,top
C30,86.2,6.5,90.0,top
C31,65.4,6.5,90.0,top
C32,44.6,6.5,90.0,top
C33,23.8,6.5,90.0,top
C34,5.5,6.5,45.0,top
C35,56.3,60.0,0.0,top
C36,5.5,27.142858,0.0,top
C37,5.5,50.285715,0.0,top
C38,5.5,73.428572,0.0,top
C39,5.5,96.571429,0.0,top
C4,96.5,81.8,0.0,top
C40,5.5,119.714286,0.0,top
C41,5.5,142.857143,0.0,top
C42,53.7,60.0,180.0,top
C43,5.5,163.5,315.0,top
C44,23.8,163.5,270.0,top
C45,44.6,163.5,270.0,top
C46,65.4,163.5,270.0,top
C47,86.2,163.5,270.0,top
C48,104.5,163.5,225.0,top
C49,58.3,59.3,90.0,top
C5,46.1,159.7,270.0,top
C50,51.7,59.3,270.0,top
C51,56.3,58.7,0.0,top
C52,53.7,58.7,180.0,top
C53,55.0,55.5,90.0,top
C54,48.9,56.625,90.0,top
C55,48.324293,53.100707,180.0,top
C56,57.1,53.2,0.0,top
C57,60.7,48.0,0.0,top
C58,52.025,53.2,180.0,top
C59,60.7,46.7,0.0,top
C6,64.0,161.5,90.0,top
C60,61.7,52.75,180.0,top
C61,59.8,51.05,0.0,top
C62,60.7,49.3,0.0,top
C63,48.6,50.1,180.0,top
C64,48.6,45.8,0.0,top
C65,53.025,43.6,180.0,top
C66,90.8,32.075,270.0,top
C7,96.5,82.7,0.0,top
C8,79.7,158.275,0.0,top
C9,79.7,153.275,0.0,top
D1,95.0,52.1,180.0,top
D10,107.0,73.428572,135.0,top
D11,107.0,50.285715,135.0,top
D12,107.0,27.142858,135.0,top
D14,107.0,4.0,90.0,top
D15,86.2,4.0,45.0,top
D16,65.4,4.0,45.0,top
D17,44.6,4.0,45.0,top
D18,23.8,4.0,45.0,top
D19,3.0,4.0,0.0,top
D2,95.0,54.1,180.0,top
D21,3.0,27.142858,315.0,top
D22,3.0,50.285715,315.0,top
D23,3.0,73.428572,315.0,top
D24,3.0,96.571429,315.0,top
D25,3.0,119.714286,315.0,top
D26,3.0,142.857143,315.0,top
D28,3.0,166.0,270.0,top
D29,23.8,166.0,225.0,top
D3,95.0,50.1,180.0,top
D30,44.6,166.0,225.0,top
D31,65.4,166.0,225.0,top
D32,86.2,166.0,225.0,top
D33,107.0,166.0,180.0,top
D34,38.5,37.925,90.0,top
D35,24.7,153.0,315.0,top
D38,89.5,34.9,90.0,top
D39,89.5,29.8,270.0,top
D5,107.0,142.857143,135.0,top
D6,77.0,160.775,180.0,top
D8,107.0,119.714286,135.0,top
D9,107.0,96.571429,135.0,top
J1,89.0,85.0,90.0,top
J10,33.75,155.1,180.0,top
J2,73.0,32.5,90.0,top
J3,83.0,33.0,90.0,top
J4,34.0,32.5,90.0,top
J5,4.555,85.0,270.0,top
J7,55.0,35.55500000000001,0.0,top
J8,24.0,32.5,90.0,top
L1,95.0,57.3,0.0,top
L2,76.4,155.775,270.0,top
L3,58.0,56.0,90.0,top
L4,52.0,56.0,270.0,top
Q1,90.9,51.1,270.0,top
R1,90.8,47.5,90.0,top
R10,82.9,153.875,270.0,top
R11,82.9,157.575,270.0,top
R12,8.9,86.4,0.0,top
R13,8.9,83.2,0.0,top
R15,40.3,147.9,90.0,top
R16,39.2,148.0,90.0,top
R17,38.1,147.9,90.0,top
R18,35.9,147.9,90.0,top
R19,33.7,147.9,90.0,top
R2,96.0,47.5,270.0,top
R20,32.6,147.9,90.0,top
R21,31.5,147.9,90.0,top
R22,57.0,61.9,270.0,top
R23,55.0,63.6,270.0,top
R24,53.0,61.9,270.0,top
R25,49.75,58.55,0.0,top
R26,48.274293,54.400707,0.0,top
R27,62.7,49.4,90.0,top
R28,62.7,46.7,270.0,top
R3,64.0,159.5,90.0,top
R35,89.5,37.1,90.0,top
R36,89.5,32.025,90.0,top
R4,49.0,37.25,90.0,top
R5,61.0,37.25,90.0,top
R6,54.825,41.0,0.0,top
R7,66.8,155.1,180.0,top
R8,89.8,53.1,270.0,top
R9,82.9,155.775,270.0,top
U2,55.0,48.4,180.0,top
U3,81.0,155.775,270.0,top
U4,55.0,156.0,0.0,top
Y1,48.6,48.0,0.0,top
